Ranks: 1, Time: 292.44061398506165 seconds
Ranks: 2, Time: 155.4800317287445 seconds
Ranks: 3, Time: 103.93048858642578 seconds
Ranks: 4, Time: 81.51933455467224 seconds
Ranks: 5, Time: 69.15882468223572 seconds
Ranks: 6, Time: 59.309633016586304 seconds
Ranks: 7, Time: 52.95577597618103 seconds
Ranks: 8, Time: 47.490731716156006 seconds
Ranks: 9, Time: 44.162644147872925 seconds
Ranks: 10, Time: 41.30503177642822 seconds
Ranks: 11, Time: 38.91618824005127 seconds
Ranks: 12, Time: 36.69042778015137 seconds
Ranks: 13, Time: 35.113954305648804 seconds
Ranks: 14, Time: 33.32908487319946 seconds
Ranks: 15, Time: 32.45013976097107 seconds
Ranks: 16, Time: 31.213656187057495 seconds
Ranks: 17, Time: 30.52164125442505 seconds
Ranks: 18, Time: 29.433000326156616 seconds
Ranks: 19, Time: 29.195425033569336 seconds
Ranks: 20, Time: 28.17828631401062 seconds
Ranks: 21, Time: 27.984012126922607 seconds
Ranks: 22, Time: 27.214945077896118 seconds
Ranks: 23, Time: 27.217971086502075 seconds
Ranks: 24, Time: 26.56945013999939 seconds
Ranks: 25, Time: 26.58557629585266 seconds
Ranks: 26, Time: 25.979465007781982 seconds
Ranks: 27, Time: 25.880994081497192 seconds
Ranks: 28, Time: 25.569867372512817 seconds
Ranks: 29, Time: 25.685548782348633 seconds
Ranks: 30, Time: 25.42126488685608 seconds
Ranks: 31, Time: 25.398576498031616 seconds
Ranks: 32, Time: 25.02930760383606 seconds
Ranks: 33, Time: 25.13335084915161 seconds
Ranks: 34, Time: 24.938836097717285 seconds
Ranks: 35, Time: 25.04613161087036 seconds
Ranks: 36, Time: 24.826672077178955 seconds
Ranks: 37, Time: 25.109283685684204 seconds
Ranks: 38, Time: 24.784411668777466 seconds
Ranks: 39, Time: 25.010671615600586 seconds
Ranks: 40, Time: 24.978451013565063 seconds
Ranks: 41, Time: 25.235281229019165 seconds
Ranks: 42, Time: 24.899381399154663 seconds
Ranks: 43, Time: 24.966556549072266 seconds
Ranks: 44, Time: 24.806708574295044 seconds
Ranks: 45, Time: 25.07132911682129 seconds
Ranks: 46, Time: 25.081015825271606 seconds
Ranks: 47, Time: 25.37544536590576 seconds
Ranks: 48, Time: 23.238879919052124 seconds
Ranks: 49, Time: 21.9304461479187 seconds
Ranks: 50, Time: 27.364411115646362 seconds
