Ranks: 1, Time: 18.632111310958862 seconds
Ranks: 2, Time: 9.961817741394043 seconds
Ranks: 3, Time: 6.197728395462036 seconds
Ranks: 4, Time: 4.075711727142334 seconds
Ranks: 5, Time: 4.063117027282715 seconds
Ranks: 6, Time: 3.643937587738037 seconds
Ranks: 7, Time: 2.8004069328308105 seconds
Ranks: 8, Time: 3.072206735610962 seconds
Ranks: 9, Time: 2.4633796215057373 seconds
Ranks: 10, Time: 2.7531533241271973 seconds
Ranks: 11, Time: 2.210740804672241 seconds
Ranks: 12, Time: 2.4829273223876953 seconds
Ranks: 13, Time: 2.0898733139038086 seconds
Ranks: 14, Time: 2.3023500442504883 seconds
Ranks: 15, Time: 2.306018352508545 seconds
Ranks: 16, Time: 1.9474155902862549 seconds
Ranks: 17, Time: 1.9023475646972656 seconds
Ranks: 18, Time: 2.173265218734741 seconds
Ranks: 19, Time: 2.1657614707946777 seconds
Ranks: 20, Time: 2.1709563732147217 seconds
Ranks: 21, Time: 2.2230851650238037 seconds
Ranks: 22, Time: 2.1592941284179688 seconds
Ranks: 23, Time: 2.1246824264526367 seconds
Ranks: 24, Time: 2.140169143676758 seconds
Ranks: 25, Time: 1.8690063953399658 seconds
Ranks: 26, Time: 2.229384422302246 seconds
Ranks: 27, Time: 2.1705322265625 seconds
Ranks: 28, Time: 2.229992389678955 seconds
Ranks: 29, Time: 2.3392722606658936 seconds
Ranks: 30, Time: 2.217562437057495 seconds
Ranks: 31, Time: 2.331627130508423 seconds
Ranks: 32, Time: 2.458839178085327 seconds
Ranks: 33, Time: 2.272467613220215 seconds
Ranks: 34, Time: 2.2813169956207275 seconds
Ranks: 35, Time: 2.3317694664001465 seconds
Ranks: 36, Time: 2.048863649368286 seconds
Ranks: 37, Time: 2.4585208892822266 seconds
Ranks: 38, Time: 2.4472622871398926 seconds
Ranks: 39, Time: 2.417296886444092 seconds
Ranks: 40, Time: 2.4617671966552734 seconds
Ranks: 41, Time: 2.6296470165252686 seconds
Ranks: 42, Time: 2.394623041152954 seconds
Ranks: 43, Time: 2.6707446575164795 seconds
Ranks: 44, Time: 2.565448522567749 seconds
Ranks: 45, Time: 2.5469956398010254 seconds
Ranks: 46, Time: 2.740976572036743 seconds
Ranks: 47, Time: 2.8330729007720947 seconds
Ranks: 48, Time: 2.6971280574798584 seconds
Ranks: 49, Time: 2.4828622341156006 seconds
Ranks: 50, Time: 2.7392096519470215 seconds
